id,family,model,view,status,reason,original,alt,sha256,reviewedVisually
01.01,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/commercial-dish-trailer-stainless-workstation.png,Stainless worktable and storage racks inside a dishwashing trailer,39da30a1422bb09192fd5f1f3dfc9751be9c4d8adafdd41c7e5c4a5cac9164e1,True
01.02,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/dish-trailer-commercial-dishwasher.png,Commercial dishwashing machine and loading table,c1a1858704083016552ddec7b10c16cc1dbd42d69a7deafe63676113fb1db637,True
01.03,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/dish-trailer-handwashing-station.png,Wash sinks and shelving inside a dishwashing trailer,f7bb29a4ce27d1d8e0209816d8a30938d029e0e30500ac35905970adf9f864a5,True
01.04,dishwashing,model-01,exterior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/dish-trailer-rental-exterior.png,Exterior of the enclosed dishwashing trailer,8a3b778dc9d47a4d49bff92ea3c3454908524ac09670740bd7b0a4357287b03f,True
01.05,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/dish-trailer-three-compartment-sink.png,Multi-compartment wash sink and pre-rinse faucet,06a2358b959cba278011112fb69071b95fc817a349712120dcd57cc6734f7de2,True
01.06,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/dish-trailer-utility-sink-storage-racks.png,Utility sink beside dish storage racks,224f845e1e70d21eb73410b89b0f9e4e36b2d64b52ac3b12eeb04dd534ec1572,True
01.07,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/dishwashing-trailer-wash-rinse-sanitize-sink.png,"Wash, rinse and sanitize basins",98d052a0b070d3ddbd7f1532e4366f99c7f0ca1a97fc2146334d4b2a0d142e28,True
01.08,dishwashing,model-01,interior,approved,,/media/equipment-drive/dishwashing-trailers/22-26ft-low-temp-dish-trailer-tier-1-4/mobile-dish-trailer-interior.png,Handwashing and pre-rinse station inside the dishwashing trailer,1ea6f29f897bc6856d85bd5b8a8fda1cf4b09843c4a51c1265f5c88dd9cea633,True
02.01,dishwashing,model-02,exterior,withheld,Residential/small-business background; no safe matching view.,/media/equipment-drive/dishwashing-trailers/30ft-conveyor-dishwashing-trailer/commercial-conveyor-trailer-rental.png,,9c0830b68351aa78c71beaa24cd548933301d151c05c5f1fc36f6948e46b480b,True
02.02,dishwashing,model-02,exterior,withheld,Residential/small-business background; no safe matching view.,/media/equipment-drive/dishwashing-trailers/30ft-conveyor-dishwashing-trailer/mobile-conveyor-trailer-rental.png,,6e3bd998904467ff8f93ad2a6ea9d7dff1b04fc9fae322bca34fbea3a9f8d532,True
03.01,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/commercial-dish-trailer-dishwasher-loading-station.png,Sink station inside the conveyor dishwashing trailer,0f1d564951c5b37701a8e9eaedfac6b28574e9d258791e86d2b4067b7a7cc907,True
03.02,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/commercial-dish-trailer-three-compartment-sink.png,Stainless washing line inside the conveyor dishwashing trailer,4d05ba810d3fe5ef9ce538ac9ccf036aa5d9b9bc416a42dcd2147c31db79a75b,True
03.03,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/dish-trailer-commercial-dishwashing-machine.png,Open commercial dishwashing machine,52fecd0683fc54a866b640199b9e4e48ce972560405c76ea0b3fe6cb3a87867f,True
03.04,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/dish-trailer-commercial-utility-sink.png,Conveyor loading table and dishwashing machine,057f4dffc865aebbef95af8a74f5d6b9518968b7a9855fc9f62a959b7fcad68f,True
03.05,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/dish-trailer-rental-complete-interior.png,Dishwashing trailer aisle and washing stations,aaedfa8b6f439599ca2fa39772690c1adf730107ec6cde1614686beac3922606,True
03.06,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/dish-trailer-sink-and-stainless-work-tables.png,Stainless washing sinks and work surface,082790dc4edd17524f1827d67861e951fb9779c2380d172e2fb066ca00dd95e1,True
03.07,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/dish-trailer-stainless-work-tables-and-sink.png,Handwashing and wash sinks inside the dishwashing trailer,acce57879fc2e6a9b150cab5a9c604dc8d2314bd694e29e2367bd842c5ac5fc0,True
03.08,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/dishwashing-trailer-wash-rinse-sanitize-station.png,Full washing line and aisle in the dishwashing trailer,1f562965c60534af09ec428d7991a5bed056715de854dcd72a67ea1024c66627,True
03.09,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/mobile-dish-trailer-sink-prep-station.png,Stainless worktable inside the dishwashing trailer,82816261b87d2f037f26911cd334460fdecc7b1e946764275a2420f4d4a63e5d,True
03.10,dishwashing,model-03,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-high-temp-conveyor-dishwashing-trailer/mobile-dishwashing-trailer-dishwasher-work-area.png,Washing stations along the dishwashing trailer aisle,537b8ad7d09638ac72ed6d748627829293332d132189b91e19253d1ba7e8e2a2,True
04.01,dishwashing,model-04,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-low-temp-dish-trailer-tier-1-4/commercial-dish-trailer-interior.png,Storage shelving inside a dishwashing trailer,4f27dfdbd7c13e732d24a3762d7188c758d73dd5f7912494827153ba6c39081e,True
04.02,dishwashing,model-04,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-low-temp-dish-trailer-tier-1-4/dish-trailer-commercial-storage-shelving.png,Dishwashing trailer aisle with sinks and worktables,64c9ac5346ed969e56bc037f8abfe5f470db80cabc998aa8f35373fe3632893f,True
04.03,dishwashing,model-04,interior,approved,,/media/equipment-drive/dishwashing-trailers/38ft-low-temp-dish-trailer-tier-1-4/dish-trailer-sink-and-pre-rinse-station.png,Wash sinks and pre-rinse station,adfc79ec326735fa06c3957836f990ed9561b2507470db01a9d623d47bf9aa17,True
