id,family,model,view,original,reason
"02.01","dishwashing","model-02","exterior","/media/equipment-drive/dishwashing-trailers/30ft-conveyor-dishwashing-trailer/commercial-conveyor-trailer-rental.png","Residential/small-business background; no safe matching view."
"02.02","dishwashing","model-02","exterior","/media/equipment-drive/dishwashing-trailers/30ft-conveyor-dishwashing-trailer/mobile-conveyor-trailer-rental.png","Residential/small-business background; no safe matching view."
"05.01","handwashing-trailer","model-05","exterior","/media/equipment-drive/handwashing-sink-trailers/handwashing-sink-trailer/hand-washing-sink-trailer-six-station.png","Two-bank configuration differs from the selected single-bank trailer; not combined."
"09.01","shower-restroom-combination","model-09","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/13ft-luxury-shower-restroom-combination-trailer-3-stalls/luxury-shower-restroom-trailer-double-door-exterior.png","Residential or ambiguous exterior setting."
"09.02","shower-restroom-combination","model-09","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/13ft-luxury-shower-restroom-combination-trailer-3-stalls/luxury-shower-restroom-trailer-exterior.png","Near-duplicate exterior with residential or ambiguous setting."
"09.04","shower-restroom-combination","model-09","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/13ft-luxury-shower-restroom-combination-trailer-3-stalls/luxury-shower-restroom-trailer-rear-exterior.png","Residential or ambiguous exterior setting."
"09.05","shower-restroom-combination","model-09","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/13ft-luxury-shower-restroom-combination-trailer-3-stalls/luxury-shower-restroom-trailer-side-view.png","Exterior setting not verified as commercial/institutional."
"09.07","shower-restroom-combination","model-09","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/13ft-luxury-shower-restroom-combination-trailer-3-stalls/portable-luxury-shower-restroom-trailer-entrance.png","Doorway view includes unverified residential/yard background."
"10.03","shower-restroom-combination","model-10","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/22ft-shower-restroom-combination-trailer-multiple-entrances.png","Outdoor setting not verified as commercial/institutional."
"10.04","shower-restroom-combination","model-10","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/6-stall-luxury-shower-restroom-trailer-side-view.png","Outdoor setting not verified as commercial/institutional."
"11.01","shower-restroom-combination","model-11","exterior","/media/equipment-drive/luxury-shower-restroom-combination-trailers/30ft-luxury-shower-restroom-combination-trailer-8-stalls/30ft-luxury-shower-restroom-combination-trailer-exterior-side-view.png","Outdoor setting not verified; no accepted interior."
"13.04","mobile-kitchen","model-13","interior","/media/equipment-drive/mobile-kitchens/28ft-mobile-kitchen/mobile-kitchen-trailer-cooking-equipment.png","Exact duplicate of 13.01."
"13.08","mobile-kitchen","model-13","exterior","/media/equipment-drive/mobile-kitchens/28ft-mobile-kitchen/temporary-commercial-kitchen-trailer-exterior.png","House is visible behind the kitchen trailer."
