site,url,existing_h1,proposed_h1,topical_service,group_1_term,group_2_term,supporting_page_content,status,notes
Temporary123 candidate,https://temp123-nine.vercel.app/,Temporary Facilities and Trailer Rental / Rent or Lease Nationwide,UNCHANGED,Homepage,Existing,Existing,Existing homepage service overview,LOCKED_HOME,Homepage H1 freeze
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/,USA Temporary Facilities Rental Service Areas,UNCHANGED,Location directory,Existing,Rental,National navigation and location discovery,EXCLUDE,Not a single-service landing page
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/alabama/,Alabama Emergency Shower Trailer Rental,Emergency Shower Trailer Rental in Alabama,Shower,Emergency trailer,Rental,State copy supports shower and hygiene deployment,PROPOSE,Reorder location after intact topical phrase
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/arizona/,Arizona Temporary Facilities Lease,HOLD,Unclear,Temporary facilities,For lease,Page is broad and current H1 lacks a topical family,HOLD,Choose a supported topical focus before wording
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/arkansas/,Arkansas Mobile Trailer Lease,HOLD,Unclear,Trailer,For lease,Page is broad and current H1 lacks a topical family,HOLD,Mobile is not an approved topical service
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/california/,California Shower and Restroom Trailer Rental,"Shower and Restroom Combination Trailer Rental in California",Shower and restroom combination,Trailer,Rental,State copy supports shower and restroom combination units,PROPOSE,Adds approved combination family wording
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/colorado/,Colorado Mobile Kitchen Trailer Rental,Kitchen Trailer Rental in Colorado,Kitchen,Trailer,Rental,State copy supports mobile kitchen deployment,PROPOSE,Removes nonessential mobile modifier
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/texas/,"Emergency trailer rental, shower, kitchen, shower and bathroom combination, sleeper bunk bed, and complete man-camp services.",Remote Man Camp Temporary Facilities Rental in Texas,Remote man camp,Temporary facilities,Rental,State copy supports multi-unit basecamp and life-support deployments,PROPOSE,Approve Texas topical focus before implementation
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/washington/olympic-peninsula/port-angeles/,"Port Angeles, Washington Mobile Kitchen Trailer Rental","Kitchen Trailer Rental in Port Angeles, Washington",Kitchen,Trailer,Rental,Reviewed city copy supports mobile commercial kitchens,PROPOSE,Content-led city mapping
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/washington/olympic-peninsula/sequim/,"Sequim, Washington Temporary Facilities Rental",HOLD,Unclear,Temporary facilities,Rental,Reviewed city copy supports several service families,HOLD,Owner should choose one truthful focus
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/washington/puget-sound/seattle/,"Seattle, Washington Temporary Facilities Rental",HOLD,Unclear,Temporary facilities,Rental,Reviewed city copy supports several service families,HOLD,Owner should choose one truthful focus
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/washington/puget-sound/tacoma/,"Tacoma, Washington Sleeper Bunkbed Trailer Rental","Sleeper Bunk-Bed Facility Rental in Tacoma, Washington",Sleeper bunk-bed facilities,Facility,Rental,Reviewed city copy supports sleeper and bunk-bed units,PROPOSE,Normalize grammar and spelling
Temporary123 candidate,https://temp123-nine.vercel.app/service-areas/washington/puget-sound/olympia/,"Olympia, Washington Shower and Restroom Trailer Rental","Shower and Restroom Combination Trailer Rental in Olympia, Washington",Shower and restroom combination,Trailer,Rental,Reviewed city copy supports combination units,PROPOSE,Content-led city mapping
Temporary123 candidate,https://temp123-nine.vercel.app/equipment-rental/mobile-kitchen-trailers/,Mobile Kitchen Trailer Rental,Kitchen Trailer Rental,Kitchen,Trailer,Rental,Product/category copy supports kitchen trailers,PROPOSE,Either current wording or shorter approved wording is defensible
Temporary123 candidate,https://temp123-nine.vercel.app/equipment-rental/laundry-trailers/,Laundry Trailer Rental,UNCHANGED,Laundry,Trailer,Rental,Product/category copy supports laundry trailers,KEEP,Already a complete natural combination
Temporary123 candidate,https://temp123-nine.vercel.app/services/shower-restroom-combination-trailers/3-stall-1-ada/,"Luxury Shower and Restroom Combination Trailer, 3 Stalls + 1 ADA Rental",ADA Shower and Restroom Combination Trailer Rental,ADA shower and restroom combination,Trailer,Rental,Model copy identifies one ADA stall and the combination layout,PROPOSE,Keep stall count in supporting subheading or body
Temporary123 candidate,https://temp123-nine.vercel.app/portable-dishwashing-trailer-rental/,Dishwashing Trailer Rental,HOLD,Dishwashing,Trailer,Rental,Existing valuable dishwashing page,HOLD,Outside supplied main-site eight-family vocabulary
Temporary123 candidate,https://temp123-nine.vercel.app/equipment-rental/refrigeration/,Refrigerated Trailer Rental,HOLD,Refrigeration,Trailer,Rental,Existing valuable refrigeration page,HOLD,Outside supplied main-site eight-family vocabulary
Temporary123 candidate,https://temp123-nine.vercel.app/20ft-refrigeration-trailers/,20ft Refrigeration Trailer Rental,HOLD,Refrigeration,Trailer,Rental,Existing legacy refrigeration product page,HOLD,Preserve URL and intent while site ownership is decided
Temporary Kitchens 123,https://temporarykitchens123.com/,Temporary Commercial Kitchen Rentals Nationwide,UNCHANGED,Homepage,Existing,Existing,Industries We Serve already covers four requested audience groups,LOCKED_HOME,Verify availability statement without adding unverified sales
Temporary Kitchens 123,https://temporarykitchens123.com/mobile-kitchen/,Mobile Kitchen,Commercial Kitchen Trailer Rental,Commercial kitchen,Trailer,Rental,Page navigation and copy identify mobile kitchen models and rental,PROPOSE,Also resolve duplicate rendered H1
Temporary Kitchens 123,https://temporarykitchens123.com/emergency-kitchen/,Emergency Kitchen,Emergency Kitchen Trailer Rental for Construction and Renovation Projects,Emergency kitchen,Trailer,Rental,Page intent covers urgent continuity during construction and renovation,PROPOSE,Fresh page fetch and rendered QA required
Temporary Kitchens 123,https://temporarykitchens123.com/temporary-kitchen/,Temporary Kitchen,Modular Kitchen Facility for Lease,Modular kitchen,Facility,For lease,Page intent is a temporary or modular kitchen solution,HOLD,Confirm leasing and modular format on this exact page
Temporary Kitchens 123,https://temporarykitchens123.com/locations/,"Locations; Mobile Kitchen Rental",UNCHANGED,Location directory,Existing,Existing,Large location directory,EXCLUDE,Resolve duplicate H1 structurally without forcing a topical rotation phrase
Ice Fox Equipment,https://icefoxequipment.com/,"Emergency commercial walk-in refrigeration freezers, pods, coolers, cold storage containers, trailers, and buildings for short-term and long-term rental; ICE FOX Equipment",UNCHANGED,Homepage,Existing,Existing,Homepage refrigeration offer,LOCKED_HOME,Two-H1 structure needs separate homepage approval
Ice Fox Equipment,https://icefoxequipment.com/prefabricated-models/refrigeration/,Refrigeration,Walk-In Refrigeration Modular Building Rental,Walk-in refrigeration,Modular building,Rental,Prefabricated-model refrigeration page,HOLD,Confirm this route offers modular buildings rather than only components
Ice Fox Leasing,https://icefoxleasing.com/,Ice Fox Leasing,UNCHANGED,Homepage,Existing,Leasing,Leasing site homepage,LOCKED_HOME,Confirm whether this property is in scope
