kind,url,h1,intro,beforeIntro,introChanged,family,navigationWithoutImages,galleryCount,slideCount,photographyPending,httpStatus,staticResult,errors
"page","/","Temporary Facilities and Trailer RentalRent or Lease Nationwide","Plan nationwide rental or leasing of temporary facilities around the work your site needs to keep running. Compare commercial kitchen trailers, hygiene facilities, crew accommodation and supporting equipment by product type, then confirm the available configuration, utilities, delivery access and rental period. For dedicated commercial kitchen and dishwashing rentals, visit Temporary Kitchens 123. Our rental team is available 24/7; dispatch timing requires confirmation.","Rent or lease mobile commercial kitchens, shower and restroom combination trailers, shower trailers, and sleeper or bunkbed trailers. Supporting Temporary Facilities rental options include laundry, dishwashing, refrigeration, restrooms and handwashing. For dedicated commercial kitchen and dishwashing rentals, visit Temporary Kitchens 123. Emergency 24/7.","true","unspecified","false","8","34","false","200","PASS","[]"
"page","/services/","Nationwide Temporary Facility Rental Services","Explore temporary facility rental services for commercial and institutional operations. Select a service below to review its own equipment and requirements, from commercial cooking and warewashing to cold storage, hygiene and crew accommodation. Different product types are identified separately.","Bring food service, hygiene and crew facilities into one site plan. Explore the services below, then discuss how they need to work together.","true","unspecified","false","8","34","false","200","PASS","[]"
"page","/industries/","Commercial and Institutional Temporary Facility Rental","Match temporary facility rentals to the operation you need to maintain. Explore construction and workforce projects, food service and hospitality, government services or emergency response, then review the equipment and site requirements relevant to that setting.","Start with the work your team needs to keep doing. Each setting brings different requirements for food service, staff welfare and site access.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/service-areas/","USA Temporary Facilities Rental Service Areas","Find Temporary123 rental service areas across the United States. Select a state on the map, then open its regional or city guides for equipment-specific rental planning. Confirm availability and delivery arrangements for your exact site and dates.","Rent or lease Temporary Facilities with Temporary123. Rental services include mobile kitchens, hygiene facilities and workforce support in all 50 states. Emergency 24/7.","true","unspecified","true","0","0","false","200","PASS","[]"
"page","/seo-dashboard/","SEO Migration Dashboard","Review Temporary123 migration evidence, protected URLs and preview crawl checks. Indexing and authority values remain unknown until supported by their connected providers; a successful HTTP check is not proof of Google indexing.","Temporary123 · Top-25 authority pilot and preview crawl status","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/rental-calculator/","Nationwide Temporary Facility Rental and Delivery Calculator","Calculate a preliminary equipment and delivery starting estimate for your selected temporary facility and trailer length. Enter the project state, city and dates for planning; final rental-period pricing, transport charges and availability require a separate quote.","Build a preliminary starting estimate for a temporary facility, trailer delivery and base-camp support anywhere in the United States.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/planning/","Bring the essentials.We’ll take it from there.","Prepare your temporary-facility project brief with the intended use, site address, available utilities, delivery access and rental dates. Review the details below before contacting the rental team.","What will the facilities support? Include occupancy, meal volume, operating hours and any special equipment needs.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/about-us/","Temporary facilities built around the work.","Temporary123 helps project teams plan temporary facilities around the operation that must continue. Equipment selection, site access, utilities and rental timing are reviewed together for construction, food service, public-service and remote-workforce projects.","Temporary123 supports construction, emergency response, government, food service and remote workforce operations with coordinated temporary facility rentals.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/blog/","Field notes for better site planning.","Use these planning guides to prepare a facility rental brief. Each guide covers a specific subject: kitchen workflow, temporary hygiene access or workforce accommodation, with the capacity, utility and delivery questions to resolve before booking.","Practical guidance for mobile kitchen rentals, restroom and shower trailers, workforce housing and temporary site support.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/contact-us/","The right facilitiesstart here.","Start your facility rental request with the equipment you need, project address, rental dates and expected users. Share available utilities and delivery restrictions so the team can review the correct configuration and availability.","Share your site, dates and requirements with Temporary123.","true","unspecified","false","0","0","false","200","PASS","[]"
