"current_url","page_family","page_type","search_intent","current_h1","h1_count","proposed_h1","target_service_equipment_family","city_state_facility_context","supporting_copy_revision","claim_or_decision_flag"
"/","homepage","nationwide hub","multi-family commercial temporary facility rental","Temporary Facilities and Trailer Rental / Rent or Lease Nationwide","1","Temporary Facilities and Trailer Rental — Rent or Lease Nationwide","multi-family","nationwide commercial base camps and temporary operations","Keep kitchen, hygiene, accommodation and life-support families visible; correct readable spacing only unless owner approves broader change","Homepage freeze; owner approval required"
"/equipment-rental/","equipment hub","category directory","browse temporary equipment rentals","Equipment for your temporary site.","1","Nationwide Temporary Facility and Equipment Rental","multi-family","commercial and institutional temporary sites","Introduce four service families and route by operational need","None"
"/equipment-rental/mobile-kitchen-trailers/","equipment category","commercial kitchen","rent a mobile commercial kitchen","Mobile Kitchen Trailer Rental","1","Commercial Mobile Kitchen Trailer Rental","kitchen","construction renovation institutional continuity","Add meal volume workflow utilities inspection and supporting dishwashing/refrigeration","Verify equipment-specific capacities"
"/equipment-rental/shower-trailer/","equipment category","shower-only trailer","rent an emergency shower trailer","Emergency Shower Trailer Rental","1","22 ft Emergency Shower Trailer Rental","shower","construction man camp renovation emergency base camp","Lead with documented 10-stall model and site utility planning","Three hand sinks and flagship designation need equipment-sheet confirmation"
"/equipment-rental/restroom-trailers/","equipment category","restroom trailer","rent a portable commercial restroom facility","Restroom Trailer Rental","1","Commercial Restroom Trailer Rental","restroom","commercial institutional and workforce sites","Distinguish restroom-only from combination configurations and document servicing","Verify floor plans and fixture counts"
"/equipment-rental/laundry-trailers/","equipment category","laundry trailer","rent temporary workforce laundry","Laundry Trailer Rental","1","Commercial Laundry Trailer Rental","laundry","long-term workforce and base-camp support","Add headcount shift utilities servicing construction and renovation context","Verify washer/dryer count per unit"
"/equipment-rental/refrigeration/","equipment category","cold-storage trailer","rent commercial temporary refrigeration","Refrigerated Trailer Rental","1","Commercial Refrigeration Trailer Rental","refrigeration","temporary kitchens renovations outages emergency cold storage","Explain cold-storage workflow power access and monitoring boundaries","Do not invent temperature or capacity"
"/equipment-rental/refrigerated-containers/","equipment category","refrigerated container","rent containerized cold storage","40ft Refrigerated Container Rental","1","40 ft Refrigerated Container Rental","refrigeration","outdoor commercial cold storage","Clarify trailer versus container placement utilities and use cases","Verify dimensions temperatures capacity and availability"
"/equipment-rental/mobile-sleep-trailers/","equipment category","workforce accommodation","rent sleeper or bunkbed trailers","Sleeper Bunk Bed Trailer Rental","1","Sleeper and Bunkbed Trailer Rental","sleeper","remote workforce and base camps","Separate trailer configurations from sleeper modular containers and add occupancy planning","Verify all capacity statements"
"/equipment-rental/mobile-crew-camps/","equipment category","man camp","rent a coordinated remote base camp","Mobile crew camps Rental","1","Remote Man Camp Temporary Facility Rental","man camp/life support","remote construction industrial emergency workforce","Describe selectable food sleeping laundry showers water and operations services","Do not promise all-inclusive package by default"
"/equipment-rental/handwashing-stations/","equipment category","handwashing","rent commercial handwashing stations","Portable Handwashing Stations Rental","1","Commercial Handwashing Station Rental","handwashing","food service hygiene construction institutional","Explain unit type placement water wastewater and servicing","Verify hands-free configuration by unit"
