"record_type","url_path","label","equipment_family","model_scope","current_primary_asset","current_mapping_status","expected_drive_folder","carousel_required","required_order","asset_gap_or_risk","alt_pattern","implementation_note"
"homepage_card","/equipment-rental/handwashing-stations/","Handwashing trailers","Handwashing Trailers","category card","/media/fb803de06002fc35d0c4d28f.png","plausible_exact_family","Handwashing Stations or Trailers / exact form factor","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Handwashing trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/equipment-rental/laundry-trailers/","Laundry trailers","Laundry","category card","/media/26e57177286bf38e7705fd10.png","plausible_exact_family","Laundry Trailers / exact model and length","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Laundry trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/equipment-rental/mobile-kitchen-trailers/","Mobile kitchen trailers","Mobile Kitchens","category card","/images/kitchen-wide.webp","plausible_exact_family","Mobile Kitchen Trailers / exact model and length","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Mobile kitchen trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/equipment-rental/mobile-sleep-trailers/","Sleeper / Bunkbed Trailers","Sleeper","category card","/images/catalog/mobile-sleep-trailers-960.webp","plausible_exact_family","Sleeper or Bunkbed Trailers and Containers / exact model and form factor","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Sleeper / Bunkbed Trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/equipment-rental/refrigeration/","Refrigeration trailers","Refrigeration","category card","/images/catalog/refrigeration-trailers-960.webp","plausible_exact_family","Refrigeration Trailers or Refrigerated Containers / exact form factor and length","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Refrigeration trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/equipment-rental/restroom-trailers/","Restroom trailers","Restroom","category card","/media/ce44e887e6e1812d2195e955.webp","wrong_cross_category","Restroom-Only Trailers / exact model and length","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Replace: current image explicitly belongs to the Shower and Restroom Facilities ADA Room series, not a confirmed restroom-only trailer.","Restroom trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/equipment-rental/shower-trailer/","Shower trailers","Shower","category card","/images/catalog/temporary-shower-trailers-960.webp","wrong_cross_category","Shower-Only Trailers or Shower Containers / exact form factor and stall count","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Replace: current image explicitly depicts an ADA shower-and-restroom combination, not a shower-only trailer.","Shower trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/portable-dishwashing-trailer-rental/","Dishwashing trailers","Dishwashing","category card","/media/cc7bd709e3c4c4a3698b1f00.webp","plausible_exact_family","Dishwashing Trailers / exact model and length","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Dishwashing trailers showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"homepage_card","/services/shower-restroom-combination-trailers/","Shower & restroom combinations","Shower and Restroom Combination Trailers","category card","/media/3ce3bc9f066f86f54836e1b3.webp","correct_family_unverified_model","Shower and Restroom Combination Trailers / exact length stall count and ADA configuration","no_card_thumbnail","Use a confirmed exact-family representative image; if converted to carousel use interior then exterior then remaining.","Thumbnail is in the intended family but must be reconciled to the Drive inventory before being treated as confirmed.","Shower & restroom combinations showing [actual visible interior exterior or feature]","Homepage card must not borrow imagery from a neighboring hygiene category."
"route","/20ft-refrigeration-trailers/","20ft Refrigeration Trailer","Refrigeration","20ft Refrigeration Trailer","/images/catalog/refrigeration-trailers-960.webp","unverified_model_reuse","Refrigeration Trailers or Refrigerated Containers / exact form factor and length","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","20ft Refrigeration Trailer [interior|exterior|specific visible feature]","Use only assets confirmed for this exact model; do not infer identity from appearance or mix family size category or form factor."
"route","/equipment-rental-refrigeration-12ft-refrigerated-trailer/","12ft Refrigeration Trailer","Refrigeration","12ft Refrigeration Trailer","/images/catalog/refrigeration-trailers-960.webp","unverified_model_reuse","Refrigeration Trailers or Refrigerated Containers / exact form factor and length","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","12ft Refrigeration Trailer [interior|exterior|specific visible feature]","Use only assets confirmed for this exact model; do not infer identity from appearance or mix family size category or form factor."
"route","/equipment-rental/breakroom-trailer/","Breakroom trailers","Other","category or unsized equipment route","/images/catalog/breakroom-trailer-960.webp","representative_static_only","Exact equipment-family Drive folder matching the route title","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Breakroom trailers [interior|exterior|specific visible feature]","Use every validated exact-family asset; plans/drawings must be labeled as layouts rather than photographs."
"route","/equipment-rental/bunkhouse-trailers/","Bunkhouse trailers","Sleeper","category or unsized equipment route","/images/catalog/bunkhouse-trailers-960.webp","representative_static_only","Sleeper or Bunkbed Trailers and Containers / exact model and form factor","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Bunkhouse trailers [interior|exterior|specific visible feature]","Use every validated exact-family asset; plans/drawings must be labeled as layouts rather than photographs."
"route","/equipment-rental/classroom-trailers/","Classroom trailers","Other","category or unsized equipment route","/images/catalog/classroom-trailers-960.webp","representative_static_only","Exact equipment-family Drive folder matching the route title","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Classroom trailers [interior|exterior|specific visible feature]","Use every validated exact-family asset; plans/drawings must be labeled as layouts rather than photographs."
"route","/equipment-rental/dining-structure-rental/","Dining structures","Other","category or unsized equipment route","/images/catalog/dining-structure-rental-960.webp","representative_static_only","Exact equipment-family Drive folder matching the route title","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Dining structures [interior|exterior|specific visible feature]","Use every validated exact-family asset; plans/drawings must be labeled as layouts rather than photographs."
"route","/equipment-rental/fencing-barricades-trash-receptacles/","Fencing, barricades & receptacles","Other","category or unsized equipment route","/images/catalog/fencing-barricades-trash-receptacles-960.webp","representative_static_only","Exact equipment-family Drive folder matching the route title","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Fencing, barricades & receptacles [interior|exterior|specific visible feature]","Use every validated exact-family asset; plans/drawings must be labeled as layouts rather than photographs."
"route","/equipment-rental/generator-trailers/","Generator trailers","Other","category or unsized equipment route","/images/catalog/generator-trailers-960.webp","representative_static_only","Exact equipment-family Drive folder matching the route title","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Generator trailers [interior|exterior|specific visible feature]","Use every validated exact-family asset; plans/drawings must be labeled as layouts rather than photographs."
"route","/equipment-rental/handwashing-stations/","Portable Handwashing Stations","Handwashing Trailers","Portable Handwashing Stations","/images/catalog/handwashing-stations-960.webp","unverified_model_reuse","Handwashing Stations or Trailers / exact form factor","yes","1 interior; 2 exterior; 3+ remaining exact-unit images","Only one current image; exact-family carousel inventory is not wired.","Portable Handwashing Stations [interior|exterior|specific visible feature]","Use only assets confirmed for this exact model; do not infer identity from appearance or mix family size category or form factor."
